time=2026-05-07T14:50:50.719Z level=INFO source=/app/internal/bootstrap/dict_config_override.go:113 msg="config override from dict" key=alert.webhook_token dict_type=alert_webhook_token
time=2026-05-07T14:50:50.719Z level=INFO source=/app/internal/bootstrap/dict_config_override.go:113 msg="config override from dict" key=alert.prometheus_url dict_type=alert_enrich_prometheus_url
time=2026-05-07T14:50:50.720Z level=INFO source=/app/internal/bootstrap/dict_config_override.go:113 msg="config override from dict" key=alert.prometheus_token dict_type=alert_enrich_prometheus_token sensitive=true
time=2026-05-07T14:50:50.720Z level=INFO source=/app/internal/bootstrap/dict_config_override.go:113 msg="config override from dict" key=mail.host dict_type=mail_host
time=2026-05-07T14:50:50.721Z level=INFO source=/app/internal/bootstrap/dict_config_override.go:113 msg="config override from dict" key=mail.port dict_type=mail_port
time=2026-05-07T14:50:50.723Z level=INFO source=/app/internal/bootstrap/dict_config_override.go:113 msg="config override from dict" key=mail.username dict_type=mail_username
time=2026-05-07T14:50:50.724Z level=INFO source=/app/internal/bootstrap/dict_config_override.go:113 msg="config override from dict" key=mail.password dict_type=mail_password sensitive=true
time=2026-05-07T14:50:50.724Z level=INFO source=/app/internal/bootstrap/dict_config_override.go:113 msg="config override from dict" key=mail.from_email dict_type=mail_from_email
time=2026-05-07T14:50:50.725Z level=INFO source=/app/internal/bootstrap/dict_config_override.go:113 msg="config override from dict" key=mail.use_tls dict_type=mail_use_tls
time=2026-05-07T14:50:51.097Z level=INFO source=/app/cmd/server.go:54 msg="database schema migrated"
time=2026-05-07T14:50:51.388Z level=INFO source=/app/cmd/server.go:220 msg="configured readonly role permissions" role=viewer policies_added=119
time=2026-05-07T14:50:51.390Z level=INFO source=/app/cmd/server.go:249 msg="demo user already exists" username=viewer
time=2026-05-07T14:50:51.397Z level=INFO source=/app/cmd/server.go:262 msg="demo user initialized" username=viewer password=viewer123 role=viewer
time=2026-05-07T14:50:51.397Z level=INFO source=/app/cmd/server.go:263 msg="demo user login info" username=viewer password=viewer123
time=2026-05-07T14:50:51.405Z level=INFO source=/app/cmd/server.go:116 msg="permission system server started" addr=:8080
time=2026-05-07T14:51:05.460Z level=WARN source=/app/internal/middleware/auth.go:30 msg="parse token failed" error="token has invalid claims: token is expired"
time=2026-05-07T14:51:05.460Z level=WARN source=/app/internal/middleware/request_logger.go:82 msg="http request completed" request_id=req-1778165465242-og9uvalb method=GET path=/api/v1/auth/me query="" status=401 latency_ms=4 client_ip=219.237.138.118 error_code=UNAUTHORIZED error_message="Token 无效"
time=2026-05-07T14:51:13.479Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165473270-e8a3r22p method=POST path=/api/v1/auth/password-login-code query="" status=200 latency_ms=7 client_ip=219.237.138.118 request_body="{\"username\":\"admin\"}"
time=2026-05-07T14:51:19.796Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165479489-hkl4jei5 method=POST path=/api/v1/auth/login query="" status=200 latency_ms=106 client_ip=219.237.138.118 request_body="{\"username\":\"admin\",\"password\":\"***\",\"code\":\"***\",\"captcha_key\":\"ch0raetYCksfa2KzUkQe\"}"
time=2026-05-07T14:56:55.641Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165815431-24lqnz2m method=GET path=/api/v1/alerts/events query="page=1&page_size=10" status=200 latency_ms=11 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:57:01.641Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165821428-cwjr3boq method=GET path=/api/v1/dict/options/:dictType query="" status=200 latency_ms=18 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:57:01.643Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165821427-wm3psfld method=GET path=/api/v1/dict/options/:dictType query="" status=200 latency_ms=18 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:57:01.647Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165821428-4tyn1qdb method=GET path=/api/v1/alerts/channels query="" status=200 latency_ms=15 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:57:01.650Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165821428-rydgt4ap method=GET path=/api/v1/projects query="page=1&page_size=200" status=200 latency_ms=19 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:57:01.710Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165821428-famwa2bg method=GET path=/api/v1/alerts/history/stats query="" status=200 latency_ms=78 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:57:01.779Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165821578-rzdwcuta method=GET path=/api/v1/alerts/subscriptions/tree query="project_id=1" status=200 latency_ms=6 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:57:01.780Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165821578-3umaun6y method=GET path=/api/v1/alerts/receiver-groups query="page=1&page_size=200&project_id=1" status=200 latency_ms=8 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:57:14.036Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165833835-1y8e2jyv method=GET path=/api/v1/alerts/silences query="page=1&page_size=200" status=200 latency_ms=8 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:57:14.038Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165833835-uezys7tf method=GET path=/api/v1/alerts/datasources query="page=1&page_size=200&project_id=1" status=200 latency_ms=8 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:57:15.688Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165835481-dyu0j88w method=GET path=/api/v1/alerts/datasources/:id/prometheus-alerts query="" status=200 latency_ms=13 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:57:17.097Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165836883-xtbyhyo9 method=GET path=/api/v1/alerts/datasources/:id/prometheus-alerts query="" status=200 latency_ms=14 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:57:17.924Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165837716-nhcngcbz method=GET path=/api/v1/alerts/datasources/:id/prometheus-alerts query="" status=200 latency_ms=13 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:58:18.360Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165898147-wpn6g3os method=GET path=/api/v1/alerts/datasources/:id/prometheus-alerts query="" status=200 latency_ms=19 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:58:19.078Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165898859-x74nxz60 method=GET path=/api/v1/alerts/datasources/:id/prometheus-alerts query="" status=200 latency_ms=14 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:58:19.645Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165899429-0prvh284 method=GET path=/api/v1/alerts/datasources/:id/prometheus-alerts query="" status=200 latency_ms=14 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:58:20.165Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165899956-b1zkbdxi method=GET path=/api/v1/alerts/datasources/:id/prometheus-alerts query="" status=200 latency_ms=14 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:58:20.629Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165900418-mmta5l79 method=GET path=/api/v1/alerts/datasources/:id/prometheus-alerts query="" status=200 latency_ms=14 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:58:21.103Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165900896-sad1h4qx method=GET path=/api/v1/alerts/datasources/:id/prometheus-alerts query="" status=200 latency_ms=14 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:58:21.551Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165901345-fh3zwc5h method=GET path=/api/v1/alerts/datasources/:id/prometheus-alerts query="" status=200 latency_ms=14 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:58:21.961Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165901748-bvozlz9d method=GET path=/api/v1/alerts/datasources/:id/prometheus-alerts query="" status=200 latency_ms=14 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:58:22.353Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165902147-w5n9d4qq method=GET path=/api/v1/alerts/datasources/:id/prometheus-alerts query="" status=200 latency_ms=14 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:58:22.727Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165902522-rrho90zp method=GET path=/api/v1/alerts/datasources/:id/prometheus-alerts query="" status=200 latency_ms=13 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:58:23.122Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165902915-yu3bxa9a method=GET path=/api/v1/alerts/datasources/:id/prometheus-alerts query="" status=200 latency_ms=14 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:58:23.471Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165903258-e11m0uuo method=GET path=/api/v1/alerts/datasources/:id/prometheus-alerts query="" status=200 latency_ms=14 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:58:23.779Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165903568-0tn62mc2 method=GET path=/api/v1/alerts/datasources/:id/prometheus-alerts query="" status=200 latency_ms=17 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:58:24.059Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165903851-o4i3wbhr method=GET path=/api/v1/alerts/datasources/:id/prometheus-alerts query="" status=200 latency_ms=13 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:58:24.430Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165904224-xthkh6ui method=GET path=/api/v1/alerts/datasources/:id/prometheus-alerts query="" status=200 latency_ms=13 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:58:24.763Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165904553-hflhpg0l method=GET path=/api/v1/alerts/datasources/:id/prometheus-alerts query="" status=200 latency_ms=13 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:58:25.153Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165904946-6n8ax2h3 method=GET path=/api/v1/alerts/datasources/:id/prometheus-alerts query="" status=200 latency_ms=13 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:58:25.595Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165905384-o8bi2qqm method=GET path=/api/v1/alerts/datasources/:id/prometheus-alerts query="" status=200 latency_ms=14 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:58:26.014Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165905808-oz7btyux method=GET path=/api/v1/alerts/datasources/:id/prometheus-alerts query="" status=200 latency_ms=13 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:58:26.414Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165906207-i4a0ctfx method=GET path=/api/v1/alerts/datasources/:id/prometheus-alerts query="" status=200 latency_ms=13 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:58:26.791Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165906586-64xzadr6 method=GET path=/api/v1/alerts/datasources/:id/prometheus-alerts query="" status=200 latency_ms=13 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:58:27.119Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165906912-cy2oight method=GET path=/api/v1/alerts/datasources/:id/prometheus-alerts query="" status=200 latency_ms=13 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:58:27.503Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165907298-cw2hr4lw method=GET path=/api/v1/alerts/datasources/:id/prometheus-alerts query="" status=200 latency_ms=13 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:58:27.877Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165907671-zd9cctz7 method=GET path=/api/v1/alerts/datasources/:id/prometheus-alerts query="" status=200 latency_ms=13 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:59:37.206Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165976920-q8r5jnxu method=GET path=/api/v1/alerts/datasources/:id/prometheus-alerts query="" status=200 latency_ms=20 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:59:37.968Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165977751-u6i8cwfy method=GET path=/api/v1/alerts/datasources/:id/prometheus-alerts query="" status=200 latency_ms=13 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:59:38.632Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165978416-4fskl0y1 method=GET path=/api/v1/alerts/datasources/:id/prometheus-alerts query="" status=200 latency_ms=13 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:59:39.197Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165978982-qo9fcm0g method=GET path=/api/v1/alerts/datasources/:id/prometheus-alerts query="" status=200 latency_ms=13 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:59:39.715Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165979501-ei7enz8r method=GET path=/api/v1/alerts/datasources/:id/prometheus-alerts query="" status=200 latency_ms=13 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:59:40.484Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165980265-83l1xhtj method=GET path=/api/v1/alerts/datasources/:id/prometheus-alerts query="" status=200 latency_ms=14 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:59:40.987Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165980770-uxgt9kau method=GET path=/api/v1/alerts/datasources/:id/prometheus-alerts query="" status=200 latency_ms=13 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:59:41.699Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165981479-z9xngumj method=GET path=/api/v1/alerts/datasources/:id/prometheus-alerts query="" status=200 latency_ms=14 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:59:42.242Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165982016-3pxysczc method=GET path=/api/v1/alerts/datasources/:id/prometheus-alerts query="" status=200 latency_ms=24 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:59:43.998Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165983789-mvy93mcf method=GET path=/api/v1/alerts/datasources query="page=1&page_size=200&project_id=1" status=200 latency_ms=5 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T14:59:44.057Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778165983789-rko9q4pa method=GET path=/api/v1/alerts/monitor-rules query="page=1&page_size=200&project_id=1" status=200 latency_ms=10 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T15:00:01.946Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778166001737-tb52x0mh method=PUT path=/api/v1/alerts/monitor-rules/:id query="" status=200 latency_ms=11 client_ip=219.237.138.118 request_body="{\"datasource_id\":1,\"name\":\"服务器内存使用率\",\"expr\":\"mem_used_percent{host=\\\"VM-0-10-centos\\\"} < 50\",\"for_seconds\":20,\"threshold_unit\":\"percent\",\"eval_interval_seconds\":30,\"severity\":\"critical\",\"labels_json\":\"{\\n  \\\"severity\\\": \\\"critical\\\",\\n  \\\"cluster\\\": \\\"prodK8s\\\",\\n  \\\"route\\\": \\\"prod-critical-dingding\\\"\\n}\",\"summary_template\":\"{{$labels.instance}}: {{.RuleName}} 告警触发，当前值 {{$value}}\",\"description_template\":\"规则 {{.RuleName}} 触发，PromQL={{.Expr}}，实例={{$labels.instance}}，当前值={{$value}}\",\"enabled\":true,\"annotations_json\":\"{\\\"summary\\\":\\\"{{$labels.instance}}: {{.RuleName}} 告警触发，当前值 {{$value}}\\\",\\\"description\\\":\\\"规则 {{.RuleName}} 触发，PromQL={{.Expr}}，实例={{$labels.instance}}，当前值={{$value}}\\\"}\"}" user_id=1 username=admin
time=2026-05-07T15:00:02.023Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778166001814-y9s8ok64 method=GET path=/api/v1/alerts/monitor-rules query="page=1&page_size=200&project_id=1" status=200 latency_ms=8 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T15:00:08.670Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778166008462-pcwo9op5 method=PUT path=/api/v1/alerts/monitor-rules/:id query="" status=200 latency_ms=9 client_ip=219.237.138.118 request_body="{\"datasource_id\":1,\"name\":\"服务器内存使用率\",\"expr\":\"mem_used_percent{host=\\\"VM-0-10-centos\\\"} < 50\",\"for_seconds\":20,\"threshold_unit\":\"percent\",\"eval_interval_seconds\":30,\"severity\":\"critical\",\"labels_json\":\"{\\n  \\\"severity\\\": \\\"critical\\\",\\n  \\\"cluster\\\": \\\"prodK8s\\\",\\n  \\\"route\\\": \\\"prod-critical-dingding\\\"\\n}\",\"summary_template\":\"{{$labels.instance}}: {{.RuleName}} 告警触发，当前值 {{$value}}\",\"description_template\":\"规则 {{.RuleName}} 触发，PromQL={{.Expr}}，实例={{$labels.instance}}，当前值={{$value}}\",\"enabled\":true,\"annotations_json\":\"{\\\"summary\\\":\\\"{{$labels.instance}}: {{.RuleName}} 告警触发，当前值 {{$value}}\\\",\\\"description\\\":\\\"规则 {{.RuleName}} 触发，PromQL={{.Expr}}，实例={{$labels.instance}}，当前值={{$value}}\\\"}\"}" user_id=1 username=admin
time=2026-05-07T15:00:08.743Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778166008537-tq1kq72f method=GET path=/api/v1/alerts/monitor-rules query="page=1&page_size=200&project_id=1" status=200 latency_ms=8 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T15:00:10.469Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778166010266-x9xwajt4 method=GET path=/api/v1/alerts/datasources query="page=1&page_size=200&project_id=1" status=200 latency_ms=5 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T15:00:12.900Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778166012689-mobfwbtz method=POST path=/api/v1/alerts/datasources/:id/query query="" status=200 latency_ms=15 client_ip=219.237.138.118 request_body="{\"query\":\"mem_used_percent{host=\\\"VM-0-10-centos\\\"} < 50\"}" user_id=1 username=admin
time=2026-05-07T15:00:14.234Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778166014023-3xev8486 method=POST path=/api/v1/alerts/datasources/:id/query query="" status=200 latency_ms=13 client_ip=219.237.138.118 request_body="{\"query\":\"mem_used_percent{host=\\\"VM-0-10-centos\\\"} < 50\"}" user_id=1 username=admin
time=2026-05-07T15:00:14.989Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778166014775-7r6lg5z4 method=POST path=/api/v1/alerts/datasources/:id/query query="" status=200 latency_ms=13 client_ip=219.237.138.118 request_body="{\"query\":\"mem_used_percent{host=\\\"VM-0-10-centos\\\"} < 50\"}" user_id=1 username=admin
time=2026-05-07T15:00:15.576Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778166015366-hcwmyvpt method=POST path=/api/v1/alerts/datasources/:id/query query="" status=200 latency_ms=14 client_ip=219.237.138.118 request_body="{\"query\":\"mem_used_percent{host=\\\"VM-0-10-centos\\\"} < 50\"}" user_id=1 username=admin
time=2026-05-07T15:00:18.767Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778166018555-qhm1m6iv method=POST path=/api/v1/alerts/datasources/:id/query query="" status=200 latency_ms=14 client_ip=219.237.138.118 request_body="{\"query\":\"mem_used_percent{host=\\\"VM-0-10-centos\\\"}\"}" user_id=1 username=admin
time=2026-05-07T15:00:24.285Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778166024074-gkh1afnm method=POST path=/api/v1/alerts/datasources/:id/query query="" status=200 latency_ms=14 client_ip=219.237.138.118 request_body="{\"query\":\"mem_used_percent{host=\\\"VM-0-10-centos\\\"}\",\"time\":\"2026-05-07T15:00:23.373Z\"}" user_id=1 username=admin
time=2026-05-07T15:00:27.324Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778166027122-ojffkrf4 method=GET path=/api/v1/alerts/silences query="page=1&page_size=200" status=200 latency_ms=6 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T15:00:27.330Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778166027122-ufv5bgst method=GET path=/api/v1/alerts/datasources query="page=1&page_size=200&project_id=1" status=200 latency_ms=5 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T15:00:30.082Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778166029865-h9jc0ool method=GET path=/api/v1/alerts/datasources/:id/prometheus-alerts query="" status=200 latency_ms=14 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T15:00:30.752Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778166030535-icf9ax7i method=GET path=/api/v1/alerts/datasources/:id/prometheus-alerts query="" status=200 latency_ms=14 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T15:00:31.391Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778166031176-7898sgjk method=GET path=/api/v1/alerts/datasources/:id/prometheus-alerts query="" status=200 latency_ms=14 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T15:00:32.094Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778166031878-eulvdd02 method=GET path=/api/v1/alerts/datasources/:id/prometheus-alerts query="" status=200 latency_ms=14 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T15:00:32.851Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778166032630-la2irya0 method=GET path=/api/v1/alerts/datasources/:id/prometheus-alerts query="" status=200 latency_ms=14 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T15:00:34.112Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778166033895-5q4qwkr3 method=GET path=/api/v1/alerts/datasources/:id/prometheus-alerts query="" status=200 latency_ms=14 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T15:00:35.619Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778166035401-vqif792r method=GET path=/api/v1/alerts/monitor-rules query="page=1&page_size=200&project_id=1" status=200 latency_ms=9 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T15:00:35.622Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778166035401-61lmfyp5 method=GET path=/api/v1/alerts/datasources query="page=1&page_size=200&project_id=1" status=200 latency_ms=8 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T15:00:40.613Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778166040411-5pi3519e method=GET path=/api/v1/alerts/duty-blocks query="monitor_rule_id=9&page=1&page_size=500" status=200 latency_ms=7 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T15:01:01.874Z level=WARN source=/app/internal/middleware/request_logger.go:82 msg="http request completed" request_id=57f34513-2c3a-4187-9896-579e92ecff63 method=GET path=/ query="" status=404 latency_ms=0 client_ip=204.76.203.206
time=2026-05-07T15:01:12.854Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778166072627-wbdmlk01 method=GET path=/api/v1/users/:id query="" status=200 latency_ms=6 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T15:01:17.713Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778166077503-92aubb0b method=POST path=/api/v1/alerts/duty-blocks query="" status=200 latency_ms=10 client_ip=219.237.138.118 request_body="{\"monitor_rule_id\":9,\"starts_at\":\"2026-05-07T15:00:50.250Z\",\"ends_at\":\"2026-05-07T23:00:50.250Z\",\"title\":\"服务器内存使用率告警值班\",\"user_ids_json\":\"[1]\",\"department_ids_json\":\"[1]\",\"extra_emails_json\":\"[]\",\"remark\":\"\"}" user_id=1 username=admin
time=2026-05-07T15:01:17.787Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778166077585-sbtheriy method=GET path=/api/v1/alerts/duty-blocks query="monitor_rule_id=9&page=1&page_size=500" status=200 latency_ms=5 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T15:01:20.772Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778166080571-qswmvgdy method=GET path=/api/v1/alerts/duty-blocks query="monitor_rule_id=9&page=1&page_size=500" status=200 latency_ms=5 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T15:01:30.580Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778166090377-7yut7cb8 method=GET path=/api/v1/alerts/monitor-rules/:id/assignees query="" status=200 latency_ms=5 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T15:01:30.744Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778166090537-uva65l0y method=GET path=/api/v1/users/:id query="" status=200 latency_ms=6 client_ip=219.237.138.118 user_id=1 username=admin
time=2026-05-07T15:01:38.275Z level=INFO source=/app/internal/middleware/request_logger.go:85 msg="http request completed" request_id=req-1778166098067-u6h23kdb method=GET path=/api/v1/users/:id query="" status=200 latency_ms=8 client_ip=219.237.138.118 user_id=1 username=admin
